Sr. No. ,Institute Code ,Institute Name 
288,6436,"Sharad Institute of Technology Polytechnic, Yadrav( Ichalkaranji)"
289,6437,"Shree Vitthal Edu. and Research Institute, College of Engineering (Polytechnic), Gopalpur, Pandharpur"
290,6439,"Y.D.Mane Institute of Technology, Kagal, Kolhapur"
291,6441,"Dr.D.Y.Patil Educational Academy's  D. Y. Patil Polytechnic, Ambi., Talegaon"
292,6442,"Sant Gajanan Maharaj Rural Polytechnic, Gadhingaj, Kolhapur"
293,6443,"Shanti Education Society, A.G. Patil Polytechnic Institute, Solapur"
294,6444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv"
295,6445,"Vidya Pratishthan's Polytechnic College, Vidyanagari, Indapur "
296,6446,"Kai. Amdar Bramhadevdada Mane Shikshan Va Samajik Pratishthan,Bramhadevdada Mane Polytechnic, Belati, Noth Solapur"
297,6447,"Shree Pandurang Pratishthan, Karmayogi Polytechnic College, Shelvhe, Tal.Pandharpur"
298,6448,"Loknete Ma.Hanumantrao Patil Charitable Trust, Adarsh Institute of Technology (Poly), Khambale"
299,6449,"Marathwada Mitra Mandal's Polytechnic, Pune"
300,6451,"Samarth Rural Education Institute, Samarth Polytechnic, Bangarwadi, Belhe"
301,6452,"Shri Umajirao Sanamadikar Medical Foundation's Siddharath Polytechnic, Jath"
302,6454,"D. Y. Patil Educational Socity's D.Y. Patil College Of Engineering & Polytechnic, Kolhapur"
303,6455,"Sandipani Charitable Trust, M.D. Jadhav Institute Of Technology.,Bhose"
304,6456,"Kasegaon Education Society's Rajarambapu Institute of Technology (Polytechnic), Lohgaon Pune"
305,6457,"Dattakala Shikshan Sanstha's, Dattakala Polytechnic, Daund Dist. Pune"
306,6458,"Shri. Siddheshwar Deosthan Trust's Siddheshwar Women's Polytechnic, Solapur"
307,6460,"S.C.E.S. Indira School Of Business Studies, Tathwade"
308,6462,"Balasaheb Desai Foundation, Shivajirao Desai College Of Polytechnic, Doulatnagar"
309,6463,"Mokashi Krishi Vikas Prasisthan's Dadasaheb Mokashi Polytechnic, Sadashivgad, Satara"
310,6464,"Rajarshi Shahu Shikshan Sanstha's Vitthal Patil Polytechnic, Miraj"
311,6465,"Gaurishankar Education & Charitable Trust, Gaurihar Polytechnic,Limb,  Satara"
312,6466,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad"
313,6467,"Swami Vivekananda Pratisthan, Swami Vivekananda Institute Of Technology,Khed, Solapur"
314,6468,"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur"
315,6469,"Shahajirao Patil Vikas Pratishthan, S. B. Patil Polytechnic, Indapur"
316,6470,"Shriram Education Soceity's Shivaji Polytechnic, Atpadi, Sangli"
317,6471,"Ramkrishna Technical Education Soceity, Shivaji Polytechnic College, Sangola"
318,6472,"Vidyavardhini Educational Academy's Vidyavardhini Institute Of Technology,Bhudargad"
319,6473,"Shri. Venkateshwara Shikshan Sanstha's Nanasaheb Mahadik Polytechnic Institute, Peth"
320,6474,"Shri Vatavruksha Swami Maharaj Devasthan's, Kai.Kalyanrao (Balasaheb) Ingale Polytechnic College, Akkalkot"
321,6475,"Smt. Premalatai Chavan Polytechnic, Karad"
322,6476,"Sau. Devibai Narayandas Chhabada Rural Education Soceity,Late N.B. Chhabada Institute Of Engg & Tech.(Poly), Satara"
323,6478,"Bharti Vidyapeeths Institute of Pharmacy (Un Aided Wing), Pune"
324,6479,"Satara Education Society's Late Suman Dhekane Department Of Pharmacy, Satara"
325,6480,"Poona District Education Association Seth Govind Raghunath Sable College of Pharmacy(Poly),Saswad, Pune"
326,6481,"Shahu Chatrapati Shikshan Sanstha's Rajarshi Shahu Chhatrapati Institute Of Pharmacy, Kolhapur"
327,6482,"Shri. Balasaheb Mane Shikshan Prasarak Mandal Ambap's, Ashokrao Mane Institute of Diploma in Pharmacy, Vadgaon"
328,6483,Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum Pharmacy College
329,6485,"Vishal Junnar Seva Mandal's Institute of Pharmacy,Ale, Pune"
330,6487,"Jayawant Shikshan Prasarak Mandal's Jayawant Institute Of Pharmacy, Pune"
331,6488,Mayani Bhag Shikshan Prasark Mandal's College Of Pharmacy (D.Pharm.) Mayani Tal-Khatav Dist-Satara
332,6489,"Gourishankar Education Society's College Of Pharmacy (D.Pharm.), Degaon, Satara"
333,6490,"Gouri Shankar Education Society's College Of Pharmacy (D. Pharm.), Limb, Satara"
334,6491,"Shri Y.S.P.Mandal's Vasantidevi Patil Institute of Pharmacy , Kodoli, Dist.Kolhapur"
335,6492,"Samarth Educational Trust's, Sawkar Pharmacy College, Jaitapur, Satara 415004"
336,6493,"Vishal Junner Seva Mandal's Institute of Pharmacy for Women, Ale,Pune"
337,6494,"Dr J J Magdum Trust's Anil Alias Pintu Magdum Memorial Pharmacy College, Dharangutti,Tal-Shirol, Dist, Kolhapur"
338,6495,"Dr. D. Y. Patil Pratishthan's Dr. D. Y. Patil Institute Of Pharmacy, Akurdi, Pune"
339,6496,"Meruling Shikshan Sanstha's Diploma In Pharmacy, Medha,Satara "
340,6497,"Gulabrao Patil Memorial Trust, Gulabrao Patil College of Pharmacy, Miraj"
341,6498,"Sharadchandra Pawar Institute of Pharmacy,Dhumberwadi, Junnar"
342,6499,"Shri. Jain Vidya Prasarak Mandal, Rasiklal M.Dhariwal College Of Pharmacy, Pune   "
343,6501,"Shri Dhanlaxmi Foundation, Karad's Late Adv. Dadasaheb Chavan Memorial Institute of Pharmacy, Malwadi-Masur"
344,6503,"Shree Ambabai Talim Sanstha's Diploma In Pharmacy ,Wanlesswadi, Miraj, Sangli"
345,6504,"Yashoda Shikshan Prasarak mandal's Sojar College of Pharmacy, Khandvi, Barshi, Solapur"
346,6505,"Shri Vithal Education & Research Institute's, College of Pharmacy(Poly.), Pandharpur"
347,6506,"Jayawant Shikshan Prasark Mandal's Jaywantrao Sawant Institute Of Pharmacy, Hadapsar, Pune"
348,6509,Walwa Taluka Education Societys S D Patil Institute of Pharmacy  Urun Islampur
349,6510,"Shriram Shikshan Sanstha's College of  Pharmacy, Paniv, Malshiras, Dist. Solapur"
350,6511,"Rajmata Jijau Shikshan Prasarak Mandal Institute Of Pharmacy,Haveli, Pune"
351,6512,"Shivneri Foundation's Shivneri Institute Of Pharmacy, Khanapur, Junna."
352,6513,"Lokseva Pratisthan's Lokseva College Of Pharmacy, Phulgaon, Haveli, Pune"
353,6514,"Abhinav Education Society's College Of Pharmacy, Narhe, Tal. Haveli, Dist. Pune"
354,6515,"Siddhant College of Pharmacy, A/p Sudumbare, Maval"
355,6516,"Krishna Charitable Trust's Krishna College of Pharmacy, Malkapur, Karad."
356,6519,"Loknete Maa. Hanumantrao Patil Charitable Trust's Adarsh Institute Of Pharmacy, Vita"
357,6520,"Sant Gajanan Maharaj Rural Hospital And Research Centre's Sant Gajanan Maharaj Rural Pharmacy College, Mahagaon, Kolhapur"
358,6522,"Shriram Education Society's Sau. Venutai Chauhan Pharmacy College, Phaltan"
359,6523,"Maharashtra Cosmopolitan Education Society, Institute Of Pharmacy(Diploma), Azam Campaus , Pune"
360,6524,"Rameshwari Mauli Prathishtan of Bhalchnadra Institute of Pharmacy, Pune"
361,6526,"Maharashtra Academy of Engg & Education Research's  MIT Polytechnic, Pune"
362,6532,"School of Architecture D. Y. Patil College of Engineering & Technology, Kasaba Bavada, Kolhapur"
363,6533,"Marathwada Mitra Mandal's College of Architecture, Pune"
364,6534,"Appasaheb Birnale College of Architecture, Sangli"
365,6535,"Shri Siddheshwar Shikshan Mandal's College of Architecture, Solapur"
366,6536,"Vivekanad Institute of Technology Padmbhushan Vasantdada Patil College of Architecture, Pune"
367,6537,"M.C.E. Society's Allana College of Architecture, Pune"
368,6538,"Padmashree Dr.D.Y.Patil College of Architecture, Pune"
369,6540,"Maharashtra State  Institute of Hotel Management & Catering Technology,Pune"
370,6541,"All India Shri Shivaji Memorial Society's College of HMCT, Pune"
371,6542,"Dr. D.Y. Patil Unitech Society's Dr.D.Y.Patil Institute of Hotel Management & Catering Technology, Tathawade, Pune"
372,6543,"Sinhgad Institute of Hotel Management & Catering Technology, Lonavala"
373,6544,"Karmveer Bhaurao Patil Shikshan Sansthan's Sahyadri Polytechnic,Pune"
374,6545,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara."
375,6547,"Suryadatta Educational Foundation, Suryadatta Institute of Management and Mass Communication, Pune"
376,6548,"Suryadatta Educational Foundation, Suryadatta Institute of Business Management and Technology, Pune"
377,6602,"College Of Engineering, Vairag Tal. Barshi"
378,6607,"Institute For Future Education, Entrepreneurship And Leadership, Karla "
379,6608,"Institute of Technical Education, Research and Management, Akurdi"
380,6609,"Jaihind College Of Engineering,Kuran "
381,6610,"Lexicon Management Institute of Leadership & Excellence,  Pune"
382,6614,"Sadhu Vaswani Institute Of Management Studies For Girls, Koregaon, Pune"
383,6615,"ISMS Sankalp Business School, Pune"
384,6616,"Sant Gajanan Maharaj College of Pharmacy, Gadhinglaj"
385,6618,"Shriram Institute Of Engineering And Technology Centre, Paniv"
386,6620,"D. Y. Patil Institute of Engineering and Technology, Ambi"
387,6621,"Institute Of Knowledge-College Of Engineering, Pimpale - Jagtap"
388,6622,ISBM College Of Engineering Pune
389,6625,"Universal College of Engineering & Research, Sasewadi"
390,6626,"Arihant Institute Of Business Management, Bawdhan"
391,6627,"Camp Education Society's Rasiklal M Dhariwal Institute of Management, Nigdi, Pune"
392,6628,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune"
393,6629,"Dhananjay Mahadik Group of Institutions, Kagal, Kolhapur"
394,6631,"Modern Institute of Business Management, Pune"
395,6632,Navsahyadri Education Society's Group of Institutions
396,6634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune"
397,6635,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune"
398,6638,"Matrix School of Managment Studies, Ambegaon"
399,6639,"MIT School of Telecom Management, Kothrud"
400,6640,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur"
401,6641,"Pune Institute Of Business Management, Pune"
402,6643,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur"
403,6644,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj"
404,6645,"Sinhgad School of Computer Studies, Kegaon Dist. Solapur"
405,6646,"Sinhgad Business School, Kegaon"
406,6649,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune"
407,6650,"Vishwakarma Dadasaheb Chavan Institute of Management and Research, Malwadi"
408,6652,"Poona College Of Pharmacy, Erandwane, Pune"
409,6712,"Jai Bhavani Education Society,Rajiv Gandhi Polytechnic College,Ziprapwadi, Tal. Phaltan, Dist. Satara"
410,6713,"Shetakari Shikshan Prasarak Mandal,Shri. Jayawantrao Bhosale Polytechnic, Kille Machindragad, Tal-Walwa, Dist. Sangli"
411,6714,"Shree Datta Shetakari Sahakari Sakhar Karkhana Ltd. Charitable Trust, Shree Datta Polytechnic College, Dattanagar  Tal-Shirol, Dist Kolhapur"
412,6715,"Dnyan Kala Krida & Krushi Pratishan,Babasaheb Phadtare Polytechnic, Kalamb Walchandnagar, Tal-Indapur, Dist. Pune"
413,6716,"Barshi Shikshan Prasarak Mandal, Shriman Bhausaheb Zadbuke Institute of Polytechnic, Puri, Tal-Barshi, Solapur "
414,6720,"Shri Balasaheb Mane Shikshan Prasarak Mandal,Ashokrao Mane Polytechnic, Ambap, Tal-Hatkanangle, Dist. Kolhapur "
415,6721,"Purogami Shikshan Mandal,Gauri Shiv Polytechnic,  Khatav  Dist - Satara"
416,6722,SHRI SOMESHWAR SHIKSHAN PRASARAK MANDALS SHARADCHANDRA PAWAR INSTITUTE OF TECHNOLOGY SOMESHWARNAGAR.
417,6723,"Chh.Shivaji Shikshan Mandal,Chh.Shivaji Polytechnic Institute,Vaduj, Tal-Khatav, Dist. Satara"
418,6724,"Chhatrapati Shahu Education Society,Chhatrapati Shahu Polytechnic, A/P Atit, Dist Satara"
419,6725,"New Satara Shikshan Sankul,New Satara College of Engineering & Management, Pandharpur "
420,6728,"Shri Narsinha Shikshan Prasarak Mandal,Ramrao Nikam Polytechnic College, Indoli Tal-Karad, Dist-Satara"
421,6729,"Ninaidevi Shikshan Prasarak Mandal,Shri. Shivajirao Deshmukh Institute of Technology, Shirala, Sangli "
422,6731,"Anekant Institute of Management Studies, Baramati"
423,6732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune"
424,6734,"Ideal Institute Of Management, Kondigare,  Tal Shirol, Kolhapur"
425,6736,Shivnagar Vidya Prasarak Manda'ls Institute Of Pharmacy Malegaon
426,6737,"Prin. K.P. Mangalvedhekar Institute Of Management Career Development And Research, Solapur"
427,6739,"Institute of Management and Computer Studies, Kothrud, Pune"
428,6741,"Sinhgad Technical Education Society's S.K.N. Sinhgad School of Business Management, Ambegaon, Tal. Haveli Dist. Pune"
429,6742,"Vidya Pratishthan's School of Architecture, Baramati"
430,6745,"Shrimat Jayshreemaladevi Naik-Nimbalkar Institute of Management Studies, Phaltan Dist-Satara"
431,6751,"ADA's Minverva College of Architecture, Pune"
432,6753,"MAEER, MIT School of Business, Kothrud, Pune"
433,6754,"International Institute of Information Technology (I²IT), Pune."
434,6755,"JSPM Narhe Technical Campus, Pune."
435,6756,"Fabtech Technical Campus College of Engineering and Research, Sangola"
436,6757,"Yashoda Technical Campus, Wadhe, Satara."
437,6758,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune."
438,6759,"Shree Ramchandra College of Engineering, Lonikand,Pune"
439,6760,"Lotus Business School, Pune"
440,6762,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli."
441,6766,Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara 
442,6767,"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune."
443,6768,"P.K. Technical Campus, Pune."
444,6769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune."
445,6770,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune."
446,6771,"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune"
447,6772,"NBN Sinhgad Technical Institutes Campus, Pune"
448,6773,"Akemi Business School, Mulsi, Pune."
449,6775,"Yashaswi Education Society's International Institute of Management Science, Chinchwad, Pune  "
450,6777,"Indira Global Business School, Parandwadi Tq. Maval Dist. Pune"
451,6780,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur."
452,6781,"Bhagwant Institute of Technology, Barshi"
453,6782,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj"
454,6783,"Saibalaji Education Society, Saibalaji International Institute of Management Sciences,Nere Marunje, Hinjewadi, Pune"
455,6785,"Abasaheb Garware Institute of Management Studies (For Women), Sangli"
456,6786,"Dr. D. Y. Patil School of Engineering & Technology,  Charholi(Bk), Via Lohgaon, Pune"
457,6787,"Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Engineering Academy, Ambi"
458,6788,"Pune Vidyarthi Griha's College of Engineering and Technology and G.K.Pate,(Wani) Institute of Management, Pune "
459,6794,"Anantrao Pawar College of Engineering & Research, Pune"
460,6795,"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar"
461,6796,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune"
462,6797,"Dnyanshree Institute Engineering and Technology, Satara"
463,6798,"International School of Management & Research, Wadki, Pune"
464,6799,"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj"
465,6800,"DKTE Society's Yashwantrao Chavan Polytechnic, Ichalkaranji"
466,6802,"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune"
467,6803,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj"
468,6807,"Ayojan School of Architecture and Design, Pune"
469,6808,"Keystone School of Engineering, Pune"
470,6809,"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Degree Engineering, Patgaon, Miraj"
471,6810,"The Great Maulana Abul Kalam Azad Minority Educational Trust's Maulana Azad Polytechnic, Solapur"
472,6811,"SSDGCT's Sanjay Ghodawat Polytechnic, Kolhapur"
473,6812,"Progressive Education Society's Modern Institute of  Business Studies, Nigdi, Pune"
474,6813,"Swaraj Institute of Management, Vanvasmachi, Tal.Karad, Dist.Satara"
475,6814,"K.P. Patil Institute ( Polytechnic ), Bhudargad, Dist.Kolhapur"
476,6815,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala"
477,6816,"Shri Chimasaheb jagdale Institute of Technology, Narsobawadi, Tal.Shirol, Kolhapur"
478,6817,"Suhas Institute of technology, Javjibuvachiwadi, Post Kasurdi, Daud"
479,6818,"Satish Misal Educational Foundation's BRICK school of Architecture, Pune "
480,6819,"Smt. Premlatai Chavan College of Architecture Karad, Dist Satara"
481,6820,"Adarsh College of Pharmacy, Vita Dist. Sangli"
482,6822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet"
483,6823,"Shri.Jain Vidyaparasark Mandal's Rasiklal M. Dhariwal Institute of Pharmceutical Education & Research, Pune."
484,6824,"Trinity Polytechnic, Pune"
485,6827,"MAHADEVRAO WANDRE INSTITUTE OF TECHNOLOGY, TURKEWADI "
486,6828,"Sant Tukaram Polytechnic, Indori, Talegaon"
487,6829,"Womens College of Pharmacy,Peth Vadgaon, Tq - Hatkanangale"
488,6830,"Ashokrao Mane Polytechnic, Save,Tq - Shahu wadi"
489,6831,"D.Y. Patil School of Architecture, Pune"
490,6833,"Dattakala College of Pharmacy, Chincholi, Daund"
491,6834,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon"
492,6835,"Gandhi Natha Rangji College of Diploma Pharmacy, Solapur"
493,6836,"Dr.D.Y.Patil Institute Of Management & Entrepreneur Development,Talegaon"
494,6837,"Anantrao Pawar College of Architecture, Parvati, Pune"
495,6839,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur"
496,6840,"S.B. Patil College of Architecture & Design,Nigdi,Pune "
497,6842,"Dr. D.Y. Patil Unitech Society's Dr. D. Y. Patil B-School, Pune"
498,6878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur"
499,6879,"Loknete Shri. Dadapatil Pharate College of Pharmacy, At Post Manadavgan Pharata, Tal.Shirur, Dist. Pune"
500,6880,"Yashoda College of Architecture, Satara"
501,6881,"Army Institute of Technology, Pune"
502,6882,Indira College of Architecture & Design
503,6883,"K.J.Education Institute Pune, Trinity College of Architecture, Pune"
504,6884,"Ideal College of Architecture, Kondigre, Shirol"
505,6885,"Shrimati Kashibai Navale College of Architecture, Ambegaon(BK)"
506,6886,"Nootan College of Pharmacy, Kavathe-mahankal, Sangli"
507,6887,"Mahalaxmi Institute of Pharmacy, Raigaon, Dist.Satara"
508,6888,"Tatyasaheb Kore Institute of Engineering & Technology(Polytechnic), Warananagar"
509,6889,"Annasaheb Dange College of D. Pharmacy, Ashta, Sangli"
510,6890,"Teerthankar Education Society's Dr. Shivajirao Kadam College of B.Pharmacy, Kasbe Digraj Sangli"
511,6891,"Eklavya College of Pharmacy, Tasgaon , Sangli"
512,6892,"Anusaya Institute of Pharmacy, Swami-Chincholi , Tal .Daund, Pune. "
513,6893,"Sant Dnyaneshwar Shikshan Sanstha, Annasaheb Dange College of B.Pharmacy, Ashta, Sangli"
514,6894,"Vidya Pratishthan's Indapur College of Architecture, Indapur, Pune"
515,6895,"Walwa Taluka Education Society's Shri. S. D. Patil College of Architecture, Islampur"
516,6896,"Shri. Shivaji Maratha Society's College of Architecture, Pune"
517,6897,"Pune District Education Association's College of Architecture, Akurdi"
518,6899,"Chhatrapati Shahu Institute of Business Education & Research, Kolhapur"
519,6900,"Yashwant Redekar College Of Pharmacy B. Pharm. And D. Pharm., Nesari"
520,6901,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi"
521,6902,Indrayani Vidya Mandir's Indrayani Institute of Pharamaceutical Education & Research
522,6903,"Indrayani Vidya Mandir's Indrayani Institute of Pharmacy, Talegaon Dabhade"
523,6904,"Anandi Pharmacy College, Kalambe Tarf Kale"
524,6905,"Navsahyadri Institute of Pharmacy, Naigaon( Nasarapur), Pune"
525,6906,"Delight College of Pharmacy, Koregaon Bhima"
526,6907,"Sarogini College of Pharmacy, Kolhapur"
527,6908,"Ashokrao Mane Institute of Pharmaceutical Science and Research, Save"
528,6909,"Y.D. Mane Institute of Pharmacy, Kagal, Kolhapur"
529,6910,"Samarth Institute of Pharmacy, Belhe , Junnar"
530,6911,"Zadbuke Institute of Pharmacy, Puri"
531,6912,"Flora College of Architecture, Khopi, Near Khed-Shivapur Toli Plaza, Pune"
532,6913,Marathwada Mitra Mandals Institute of Enviornment and Design's college of Architecture
533,6914,"Institute of Pharmaceutical Science & Research for Girls, (Bhigwan), Daund"
534,6915,"DNYANVILAS COLLEGE OF PHARMACY, DUDULGAON TAl HAVELI DIST PUNE"
535,6916,PHARATE PATIL COLLEGE OF PHARMACY DIPLOMA
536,6917,shfited to 5465
537,6918,"Jijamata College of Pharmacy, Sarati"
538,6919,"D.Y. Patil Education Society's D.Y. Patil College of Architecture, Talsande, Kolhapur"
539,6920,"Solapur Education Society's College of Architecture, Solapur"
540,6921,"Elixir Institute of Pharmacy, Pune"
541,6922,"Siddhant School of Pharmacy ( Women ), Pune"
542,6923,"Padmini College of Pharmacy, Atpadi, Sangli"
543,6924,"ASM's Institute of Business Managment & Research(PGDM), Pune"
544,6925,"Aureole School of Business Management, Pune"
545,6926,"Siddhant College of Architecture, Sudambare"
546,6927,S.S.P Shikshan Sansthas Siddhi College Of Pharmacy
547,6928,"Dattakala Institute Of Hotel Management And Catering Technology, Swami-Chnicholi, Daund"
548,6929,"MES Institute Of Management And Career Courses MBA, Pune"
549,6930,"Delonix Society's Baramati College Of Pharmacy, Barhanpur"
550,6931,"Samarth College Of Pharmacy, A/P Belhe, Bangarwadi"
551,6932,Dr Bapuji Salunkhe Institute Of Pharmacy Miraj
552,6933,"Sarsam College Of Pharmacy, Palshiwadi"
553,6934,Pune District Education Associations College Of Pharmacy Hadapsar Pune  
554,6935,"Lokmangal College Of Pharmacy, Wadala"
555,6936,Krishna Foundations Jaywant Institute Of Pharmacy Wathar Tal Karad.
556,6937,"Fabtech College Of Pharmacy, Sangola"
557,6938,Shree Siddheshwar Women's College Of Engineering Solapur.
558,6939,"Delight Institute of Pharmacy, Koregaon Bhima"
559,6940,"Ashokrao Mane College of Architecture, Vathar Tarf Vadgaon "
560,6941,"Janaki Devi Bajaj Institute Of Management Studies And Research, Pune"
561,6942,"Shardabai Pawar Institute Of Pharmaceutical Sciences And Research, Shardanagar, Baramati"
562,6943,"Vidya Niketan College Of Pharmacy, Lakhewadi"
563,6951,Mandesh Institute Of Pharmaceutical Science And Research Centre Mhaswad
564,6952,Mahadev Kanchan College Of Pharmaceutical Education And Research
565,6953,Varvand Gram Shikshan Sansthas Eknath Sitaram Divekar College Of Pharmacy Varvand
566,6954,"Shri  Ganpati Institute of Pharmaceutical Sciences and Research, Tembhurni "
567,6956,Trinity College Of Pharmacy Pune
568,6957,"Ashokrao Mane Institute Of Pharmacy Ambap, Hatkanangle"
569,6958,"Genesis Institute Of Pharmacy, Radhanagari"
570,6959,"Tatyasaheb Kore College of Architecture, Warnanagar"
571,6960,"Dr. J.J. Magdum College of Architecture, Jaysingpur"
572,6961,"Lokmanya Tilak Institute of Pharmaceutical Sciences, Pune"
573,6962,"Late Laxmibai Phadtare College of Pharmacy, Kalamb"
574,6963,"Riyajbhai Shamanji College of Pharmacy, Gadhinglaj"
575,6964,"Dr. Ashok Gujar College of Pharmacy, Solapur"
576,6965,"Shivraj College of Pharmacy, Gadhinglaj"
577,6966,"S.P.Mandali's Prin.N.G.Naralkar Institute Of Career Development And Research, Pune"
578,6967,"Suryadatta Institute Of Management And Mass Communication Pgdm, Pune"
579,6968,"Dr. D.Y. Patil Seamedu School of Management, Talegaon Dabhade, Pune"
580,6969,"Indira Institute of Management PGDM, Pune"
581,6970,"Indira School of Business Studies PGDM, Pune"
582,6971,"K.B. Joshi Institute of Information Technology, Pune"
583,6972,"Shri. Someshwar Shikshan Prasarak Mandals Sharadchandra Pawar Institute of Management & Research, Someshwarnagar,"
584,6973,"ASMS Institute of Business Management and Research MCA, Pune"
585,6974,"Pune Business School, Nigdi, Pune"
586,6975,"Pune Institute of Management Studies, Pune"
587,6976,"Indira College of Management Studies, Parandvadi"
588,6977,Dattakala Institute of Pharmacy
589,6978,Arya College of Pharmacy
590,6979,Institute Of Diploma Pharmacy
591,6980,Jaihind College of Pharmacy
592,6981,Vitthal Pratishthan College of Pharmacy
593,6982,"New College of Pharmacy, Kolhapur"
594,6983,"Ashokrao Mane Institute of Pharmacy, Vathar  Tarf- Vadagaon"
595,6984,"Bhausaheb Gudge College of Pharmacy, Mayani"
596,6985,"VPS College of Pharmacy, Waksai, Lonavala"
597,6986,"Saraswati shikshan Prasarak Mandal, Malawadi, Kotoli"
